frame,center_x,center_y,bbox_x,bbox_y,bbox_w,bbox_h,num_points
0,340,275,210,140,260,270,200
1,337,278,207,143,260,270,103
2,334,282,204,147,260,270,78
3,332,287,202,152,260,270,59
4,329,293,199,158,260,270,52
5,327,300,197,165,260,270,43
6,326,305,196,170,260,270,38
7,325,309,195,174,260,270,35
8,324,312,194,177,260,270,32
9,322,314,192,179,260,270,31
10,319,314,189,179,260,270,31
11,315,314,185,179,260,270,31
12,311,313,181,178,260,270,31
13,308,312,178,177,260,270,31
14,305,310,175,175,260,270,31
15,301,308,171,173,260,270,31
16,297,306,167,171,260,270,29
17,293,304,163,169,260,270,29
18,290,301,160,166,260,270,29
19,287,298,157,163,260,270,29
20,284,294,154,159,260,270,28
21,280,290,150,155,260,270,28
22,278,286,148,151,260,270,28
23,278,282,148,147,260,270,28
24,279,277,149,142,260,270,27
25,282,273,152,138,260,270,27
26,288,271,158,136,260,270,25
27,300,270,170,135,260,270,25
28,316,270,186,135,260,270,25
29,332,271,202,136,260,270,25
30,349,272,219,137,260,270,25
31,368,272,238,137,260,270,25
32,387,272,257,137,260,270,25
33,406,272,276,137,260,270,25
34,425,272,295,137,260,270,25
35,445,272,315,137,260,270,25
36,465,273,335,138,260,270,25
37,486,274,356,139,260,270,25
38,508,275,378,140,260,270,25
39,529,276,399,141,260,270,25
40,550,276,420,141,260,270,25
41,570,277,440,142,260,270,25
42,589,278,459,143,260,270,25
43,607,278,477,143,260,270,25
44,625,277,495,142,260,270,23
45,643,276,513,141,260,270,23
46,661,274,531,139,260,270,23
47,679,271,549,136,260,270,23
48,697,269,567,134,260,270,23
49,716,268,586,133,260,270,23
