frame,center_x,center_y,bbox_x,bbox_y,bbox_w,bbox_h,num_points
0,340,275,210,140,260,270,200
1,338,278,208,143,260,270,127
2,336,283,206,148,260,270,100
3,333,288,203,153,260,270,88
4,330,294,200,159,260,270,67
5,328,300,198,165,260,270,62
6,327,305,197,170,260,270,56
7,326,308,196,173,260,270,53
8,325,311,195,176,260,270,48
9,322,313,192,178,260,270,46
10,318,313,188,178,260,270,44
11,314,312,184,177,260,270,44
12,310,311,180,176,260,270,44
13,307,310,177,175,260,270,44
14,304,308,174,173,260,270,42
15,301,306,171,171,260,270,42
16,298,304,168,169,260,270,42
17,294,302,164,167,260,270,42
18,291,299,161,164,260,270,42
19,288,296,158,161,260,270,42
20,285,292,155,157,260,270,42
21,281,288,151,153,260,270,41
22,279,285,149,150,260,270,41
23,278,281,148,146,260,270,41
24,279,275,149,140,260,270,41
25,282,271,152,136,260,270,41
26,289,269,159,134,260,270,41
27,301,268,171,133,260,270,41
28,317,268,187,133,260,270,41
29,333,269,203,134,260,270,41
30,350,270,220,135,260,270,41
31,369,270,239,135,260,270,41
32,388,270,258,135,260,270,41
33,407,270,277,135,260,270,41
34,426,270,296,135,260,270,41
35,446,271,316,136,260,270,41
36,466,272,336,137,260,270,41
37,487,273,357,138,260,270,41
38,509,274,379,139,260,270,41
39,530,275,400,140,260,270,41
40,550,275,420,140,260,270,41
41,569,276,439,141,260,270,41
42,588,276,458,141,260,270,41
43,606,276,476,141,260,270,41
44,624,275,494,140,260,270,41
45,642,274,512,139,260,270,41
46,660,272,530,137,260,270,41
47,678,269,548,134,260,270,41
48,696,267,566,132,260,270,41
49,715,266,585,131,260,270,41
